,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,29.52,54,0,4.63,ZA,1640596015
1,avarua,-21.2078,-159.775,23.03,83,46,1.54,CK,1640596016
2,severo-kurilsk,50.6789,156.125,-2.08,87,84,5.81,RU,1640596016
3,kapaa,22.0752,-159.319,23.18,73,20,0.45,US,1640596017
4,matamoros,25.5333,-103.25,16.17,34,9,1.97,MX,1640595996
5,bowen,-20.0167,148.2333,26.19,76,100,3.31,AU,1640596020
6,mataura,-46.1927,168.8643,12.49,91,100,0.79,NZ,1640596020
7,rikitea,-23.1203,-134.9692,24.11,89,100,9.56,PF,1640596021
8,ushuaia,-54.8,-68.3,7.81,71,90,6.17,AR,1640596022
9,jamestown,42.097,-79.2353,-0.38,81,1,1.79,US,1640596023
10,ponta do sol,32.6667,-17.1,19.45,86,100,2.32,PT,1640596024
11,staryy nadym,65.6118,72.6842,-16.69,81,100,9.02,RU,1640596024
12,cape town,-33.9258,18.4232,21.6,79,75,1.79,ZA,1640595348
13,chuy,-33.6971,-53.4616,15.74,82,0,2.26,UY,1640596026
14,butaritari,3.0707,172.7902,27.88,75,68,4.44,KI,1640596027
15,ukiah,39.1502,-123.2078,7.57,95,90,1.54,US,1640595998
16,bredasdorp,-34.5322,20.0403,21.27,58,100,6.58,ZA,1640596028
17,wattegama,6.7989,81.4808,30.51,47,2,4.73,LK,1640596029
18,boa vista,2.8197,-60.6733,24.99,78,0,4.12,BR,1640596030
19,provideniya,64.3833,-173.3,-16.84,84,94,3.5,RU,1640596030
20,kaeo,-35.1,173.7833,21.29,91,100,1.66,NZ,1640596031
21,port alfred,-33.5906,26.891,28.57,54,86,2.3,ZA,1640596033
22,atuona,-9.8,-139.0333,25.91,79,24,6.96,PF,1640596033
23,kalmunai,7.4167,81.8167,28.09,59,20,4.61,LK,1640596034
24,ucluelet,48.9329,-125.5528,-6.62,84,0,3.78,CA,1640595836
25,xining,36.6167,101.7667,-4.37,47,2,0.39,CN,1640596035
26,arraial do cabo,-22.9661,-42.0278,23.92,83,0,5.14,BR,1640596036
27,honiara,-9.4333,159.95,27.13,86,100,1.24,SB,1640596037
28,hualmay,-11.0964,-77.6139,19.03,91,100,3.04,PE,1640596038
29,sakakah,29.9697,40.2064,12.78,41,0,4.67,SA,1640596039
30,south venice,27.0531,-82.4243,18.88,100,1,1.54,US,1640596040
31,khatanga,71.9667,102.5,-36.31,100,21,0.73,RU,1640596041
32,vaini,-21.2,-175.2,24.09,94,40,1.03,TO,1640596041
33,qaanaaq,77.484,-69.3632,-22.45,72,9,3.52,GL,1640596042
34,northam,51.0333,-4.2167,11.68,95,100,7.02,GB,1640596043
35,lorengau,-2.0226,147.2712,28.57,77,95,3.82,PG,1640596044
